subject_id;device_num;mBAN_left;mBAN_right;group
80;#001;588E81A24A27;886B0FABF921;1
81;#002;886B0FABF921;588E81A24A0D;1
82;#003;886B0FABF79E;84FD27E50653;1
83;#004;886B0FABF703;588E81A249C7;1
84;#006;886B0FABF754;886B0FABF870;1
86;#001;588E81A24A27;886B0FABF921;2
87;#002;886B0FABF921;588E81A24A0D;2
85;#003;886B0FABF79E;84FD27E50653;2
89;#005;886B0FABF7DB;84FD27E504C3;2
90;#006;886B0FABF754;886B0FABF870;2
100;#001;588E81A24A27;886B0FABF921;3
95;#004;886B0FABF703;588E81A249C7;3
110;#001;588E81A24A27;886B0FABF921;4
109;#002;886B0FABF921;588E81A24A0D;4
103;#003;886B0FABF79E;84FD27E50653;4
104;#004;886B0FABF703;588E81A249C7;4
105;#005;886B0FABF7DB;84FD27E504C3;4
106;#006;886B0FABF754;886B0FABF870;4
107;#007;588E81A24A2B;84FD27E506E8;4
108;#008;588E81A249B2;588E81A24887;4
120;#001;588E81A24A27;886B0FABF921;5
113;#002;886B0FABF921;588E81A24A0D;5
114;#003;886B0FABF79E;84FD27E50653;5
115;#004;886B0FABF703;588E81A249C7;5
116;#005;886B0FABF7DB;84FD27E504C3;5
117;#006;886B0FABF754;886B0FABF870;5
118;#007;588E81A24A2B;84FD27E506E8;5
122;#008;588E81A249B2;588E81A24887;5
93;#001;588E81A24A27;886B0FABF921;6
123;#008;588E81A249B2;588E81A24887;6
97;#003;886B0FABF79E;84FD27E50653;6
128;#004;886B0FABF703;588E81A249C7;6
126;#005;886B0FABF7DB;84FD27E504C3;6
125;#006;886B0FABF754;886B0FABF870;6
112;#007;588E81A24A2B;84FD27E506E8;6
99;#008;588E81A249B2;588E81A24887;7
127;#007;588E81A24A2B;84FD27E506E8;7
129;#005;886B0FABF7DB;84FD27E504C3;7
